,reportedDateTime,centerLong,centerLat,offense,cluster_no
149,2021/01/10 13:52:00+00,-93.25500518,44.95283952,AUTOTH  ,259
150,2021/01/10 14:01:00+00,-93.22294772,44.89993505,THEFT   ,414
151,2021/01/10 14:56:00+00,-93.22883412,45.00363907,SHOPLF  ,84
152,2021/01/10 16:24:00+00,-93.22883412,45.00363907,BURGB   ,84
153,2021/01/10 17:22:00+00,-93.30426531,45.00192159,THEFT   ,302
154,2021/01/10 16:10:00+00,-93.2476225,44.97037639,AUTOTH  ,403
155,2021/01/10 17:13:00+00,-93.27039647,45.00065106,BURGD   ,309
156,2021/01/10 20:30:00+00,-93.2447022,44.96305499,AUTOTH  ,161
157,2021/01/10 18:01:00+00,-93.29117904,44.96845738,AUTOTH  ,207
158,2021/01/10 19:03:00+00,-93.22321111,44.95963007,AUTOTH  ,359
159,2021/01/10 18:40:00+00,-93.27727,44.97941,ASLT4   ,191
160,2021/01/10 18:43:00+00,-93.21492377,44.97044943,AUTOTH  ,245
161,2021/01/10 19:17:00+00,-93.31437173,45.04668522,BURGD   ,334
162,2021/01/10 21:40:00+00,-93.23084226,44.93321797,AUTOTH  ,463
163,2021/01/10 19:18:00+00,-93.25428908,44.93052493,CARJCK  ,392
164,2021/01/09 09:56:00+00,-93.24446354,44.9891175,TFMV    ,216
165,2021/01/10 07:25:00+00,-93.25877019,44.97642087,TFMV    ,487
166,2021/01/09 12:15:00+00,-93.27663397,44.94044624,TFMV    ,229
167,2021/01/09 11:30:00+00,-93.2460605,44.92782938,TFMV    ,96
168,2021/01/10 15:50:00+00,-93.24480117,44.99642594,TMVP    ,294
169,2021/01/10 20:02:00+00,-93.26773037,44.89784407,TFMV    ,98
170,2021/01/11 02:11:00+00,-93.2695916,44.98415998,THEFT   ,195
171,2021/01/11 11:34:00+00,-93.24992504,44.95285128,BURGD   ,354
172,2021/01/10 21:25:00+00,-93.26376354,44.92784146,ROBPAG  ,297
173,2021/01/10 20:19:00+00,-93.24020967,44.98484107,CSCR    ,197
174,2021/01/10 21:45:00+00,-93.23330586,44.98874798,AUTOTH  ,221
175,2021/01/10 21:21:00+00,-93.28430243,44.94566918,ROBPAG  ,32
176,2021/01/11 00:30:00+00,-93.20760142,44.90448348,ASLT2   ,396
177,2021/01/11 03:49:00+00,-93.27532211,44.93864844,AUTOTH  ,229
178,2021/01/11 04:29:00+00,-93.28008046,44.96986308,BURGB   ,317
179,2021/01/11 07:30:00+00,-93.26257942,44.95822156,BURGB   ,473
180,2021/01/11 07:30:00+00,-93.21921931,44.92059183,BURGB   ,218
181,2021/01/03 20:04:00+00,-93.29949189,44.99017199,DASTR   ,254
182,2021/01/05 11:34:00+00,-93.28801715,44.96002038,THEFT   ,324
183,2021/01/09 09:13:00+00,-93.27556,44.97301,ROBPER  ,457
184,2021/01/10 14:10:00+00,-93.2879891,44.99968546,ASLT2   ,468
185,2021/01/13 14:10:00+00,-93.24696106,44.98366275,BIKETF  ,93
186,2021/01/12 17:20:00+00,-93.2551409,44.97635125,TFMV    ,393
187,2021/01/12 21:03:00+00,-93.27592097,44.96268936,TFPER   ,209
188,2021/01/13 02:02:00+00,-93.29104937,44.99827388,ARSON   ,125
189,2021/01/13 03:28:00+00,-93.28955018,44.91321845,TMVP    ,363
190,2021/01/13 11:06:00+00,-93.27615928,44.97596973,BURGB   ,191
191,2021/01/13 09:24:00+00,-93.21840732,44.98749446,AUTOTH  ,415
192,2021/01/13 10:44:00+00,-93.29764872,44.981575,ROBPER  ,114
193,2021/01/13 09:52:00+00,-93.23514707,44.94837171,AUTOTH  ,233
194,2021/01/13 10:35:00+00,-93.26765708,44.96848547,THEFT   ,311
