,cluster_no,centerLong,centerLat
189,189,-93.284501905,44.929098815
190,190,-93.21761514800001,44.931842505999995
191,191,-93.27646339272728,44.97748138909091
192,192,-93.23533482666666,44.900166993333336
193,193,-93.22203230999999,44.98855965
194,194,-93.28640605199999,44.998136013999996
195,195,-93.270134837,44.984817346
196,196,-93.20841577333333,44.96696816666667
197,197,-93.23952503727274,44.98222323090909
198,198,-93.29194095999999,45.04962674000001
199,199,-93.3129266725,45.02295964875
200,200,-93.21973420399999,44.972522028
201,201,-93.282520578,44.959651007
202,202,-93.250173144,45.011292268000005
203,203,-93.261771981875,44.962854440625
204,204,-93.30929666857143,44.98294705428572
205,205,-93.288306333,45.014155964000004
206,206,-93.28622644125001,45.0267650075
207,207,-93.29048785699999,44.967038589
208,208,-93.2362821875,45.00981454
209,209,-93.27664446391307,44.96437538304348
210,210,-93.30506481666664,44.980671324999996
211,211,-93.27701711,44.98766792
212,212,-93.23407738000003,44.982029231904775
213,213,-93.25726211333334,44.92512932333333
214,214,-93.2105316325,44.898269685
215,215,-93.30500411,44.96244304
216,216,-93.24673062555556,44.98954165777778
217,217,-93.29018524,44.98278712
218,218,-93.22071886749998,44.92069889
219,219,-93.32902,44.90711
220,220,-93.27056778000001,45.016247148000005
221,221,-93.234267395,44.99042039666667
222,222,-93.22814160499999,45.020954492499996
223,223,-93.2539001925,44.93514517375
224,224,-93.29337043000001,44.90956644
225,225,-93.21254840333334,44.928216490000004
226,226,-93.25137846,44.926733754
227,227,-93.2180024825,44.943019112500004
228,228,-93.2242753125,44.96964489
229,229,-93.2753406223077,44.939860870000004
230,230,-93.24201765307693,44.96330019846153
231,231,-93.25171117833334,44.997319026666666
232,232,-93.26893202000001,44.921968577499996
233,233,-93.2348145552381,44.94831399809524
234,234,-93.23508326666666,44.92960802666667
235,235,-93.28604993333335,44.97935504166667
236,236,-93.31571538142857,44.998460245714284
237,237,-93.25530473333333,44.94509298666666
238,238,-93.28026749333333,45.006545493333334
239,239,-93.31931231333333,44.93398411333334
240,240,-93.22408643333334,44.94724187666666
241,241,-93.27668664166667,44.91807421000001
242,242,-93.30064697166667,45.01589730166666
243,243,-93.21471804000001,44.91793667200001
244,244,-93.20934970333333,44.92431448333334
245,245,-93.21484210363634,44.97137459909091
246,246,-93.25780422100001,45.006377476999994
247,247,-93.20895229499999,44.957170965
248,248,-93.29113079,44.962147565
249,249,-93.24262396499999,44.9429573825
250,250,-93.28235222,44.89846037
251,251,-93.317589242,44.912975919999994
252,252,-93.24745809200002,45.007215201
253,253,-93.25806012666668,44.90251289333333
254,254,-93.30061418571428,44.991419691428575
255,255,-93.28623048400001,44.924829036
256,256,-93.24741286857144,44.973551765714305
257,257,-93.28899599823528,44.9487021382353
258,258,-93.22740469250002,44.997600469999995
259,259,-93.25541189,44.95471191666667
260,260,-93.30712517125,45.0115451975
261,261,-93.24778457000001,44.9192578225
262,262,-93.273274504,44.980374056
263,263,-93.2985324425,44.939935362499995
264,264,-93.26562206833334,44.98390594166667
265,265,-93.27300266875,44.97234994
266,266,-93.28584337,44.98756212
267,267,-93.295621985,44.927483065000004
268,268,-93.28893355000001,45.032252505
269,269,-93.21112350666668,44.91364480666667
270,270,-93.239356965,45.028558399999994
271,271,-93.28381824,44.97389327900001
272,272,-93.2877897725,45.0389952625
273,273,-93.22075315,44.95648556
274,274,-93.21020644,44.98803357
275,275,-93.23033890666666,44.92418086
276,276,-93.23157854,45.031693974
277,277,-93.25927189999999,44.93374500222223
278,278,-93.305110205,44.98856834875
279,279,-93.20514312,44.94212417
280,280,-93.28795713,44.8991279125
281,281,-93.29549626999999,45.045024425
282,282,-93.25839857272727,44.96190444454546
283,283,-93.27736636200001,44.89239680399999
284,284,-93.26209722333334,45.01496774833333
285,285,-93.277929805,44.946644615
