X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2297832665536,44.935932485131396,,MP20212394          ,3     ,2021/01/04 00:00:00+00,1427,2021/01/04 00:00:00+00,2021/01/04 14:27:00+00,1326,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,,-93.22979000000001,44.93594,-10378292,5611441,Howe,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,22
-93.236772159464,44.9815348848696,0004XX 13TH AVE SE,MP20212399          ,2     ,2021/01/04 00:00:00+00,1330,2021/01/04 00:00:00+00,2021/01/04 13:30:00+00,1315,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,16641.0,-93.23677981,44.98153641,-10379070,5618615,Marcy Holmes,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,23
-93.2323344819605,44.9519680145722,0027XX 28TH ST E,MP20212413          ,3     ,2021/01/04 00:00:00+00,1401,2021/01/04 00:00:00+00,2021/01/04 14:01:00+00,300,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,17399.0,-93.23233478,44.95197292,-10378576,5613963,Longfellow,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,24
-93.307595336464,44.9915035932464,0021XX PLYMOUTH AVE N,MP20212425          ,4     ,2021/01/04 00:00:00+00,1421,2021/01/04 00:00:00+00,2021/01/04 14:21:00+00,1400,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,17608.0,-93.3075977,44.99150434,-10386954,5620184,Willard - Hay,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,25
-93.26311974674731,44.9723651924945,0007XX PARK AVE ,MP20212429          ,1     ,2021/01/04 00:00:00+00,1535,2021/01/04 00:00:00+00,2021/01/04 15:35:00+00,1400,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5.0,2021/01/05 00:00:00+00,18846.0,-93.26312004,44.97236806,-10382003,5617172,Elliot Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,26
-93.2868173039423,44.9980404473032,0006XX BROADWAY AVE W,MP20212439          ,4     ,2021/01/04 00:00:00+00,2012,2021/01/04 00:00:00+00,2021/01/04 20:12:00+00,1400,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,19499.0,-93.28682278,44.99804509,-10384641,5621213,Near - North,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,27
-93.24730939774669,44.924224101917,0043XX CEDAR AVE S,MP20212484          ,3     ,2021/01/04 00:00:00+00,1610,2021/01/04 00:00:00+00,2021/01/04 16:10:00+00,1600,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,12339.0,-93.24731731,44.92422671,-10380243,5609600,Ericsson,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,28
-93.3133355711295,44.9942543719727,0015XX THOMAS AVE N,MP20212497          ,4     ,2021/01/04 00:00:00+00,1600,2021/01/04 00:00:00+00,2021/01/04 16:00:00+00,1555,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,14778.0,-93.31334289,44.99425707,-10387593,5620617,Willard - Hay,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,29
-93.21974010167709,44.9483569141988,0036XX LAKE ST E,MP20212515          ,3     ,2021/01/04 00:00:00+00,1727,2021/01/03 00:00:00+00,2021/01/04 17:27:00+00,2145,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,14411.0,-93.21974405,44.94835848,-10377174,5613395,Longfellow,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,30
-93.22294708724141,44.899934795701505,0056XX 34TH AVE S,MP20212516          ,3     ,2021/01/04 00:00:00+00,1629,2021/01/02 00:00:00+00,2021/01/04 16:29:00+00,1700,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,16391.0,-93.22294772,44.89993505,-10377531,5605782,Wenonah,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,31
-93.2889013954015,44.9304315594275,0007XX 40TH ST W,MP20212534          ,5     ,2021/01/04 00:00:00+00,1843,2021/01/04 00:00:00+00,2021/01/04 18:43:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,18630.0,-93.28890177,44.93043728,-10384873,5610576,East Harriet,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,32
-93.27531886830559,44.9386477767477,0035XX STEVENS AVE ,MP20212543          ,5     ,2021/01/04 00:00:00+00,1907,2021/01/04 00:00:00+00,2021/01/04 19:07:00+00,1700,ROBPAG  ,ROBBERY PER AGG               ,4.0,2021/01/05 00:00:00+00,15416.0,-93.27532211,44.93864844,-10383361,5611868,Lyndale,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,33
-93.2844457515922,44.9186838884509,0046XX GRAND AVE S,MP20212565          ,5     ,2021/01/04 00:00:00+00,1729,2021/01/04 00:00:00+00,2021/01/04 17:29:00+00,1100,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,22302.0,-93.28444594,44.91868672,-10384377,5608729,Tangletown,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,34
